phrase,Advanced,Bad,BadManagement,BeginnerFriendly,OverallGood,GoodManagement,GoodResources,InformativeAndKnowledgeable,Lengthy,Short 
"The seminar was initially beginner-friendly but lost its way in excessive length. Although the management was good, it lacked the necessary resources to sustain interest. Nevertheless, it provided valuable insights and knowledge.",0,0,0,1,1,1,1,0,1,1
"I took part in a lengthy and advanced presentation that pushed the boundaries of endurance. Despite its duration, it was remarkably informative and knowledgeable. Management was satisfactory, but resources could have been more abundant.",1,0,0,0,0,1,0,1,1,1
"This seminar, tailored for beginners, became overly lengthy, testing the patience of attendees. The management was subpar, and resources were scarce. However, it still delivered valuable insights and knowledge.",0,0,1,1,0,0,0,0,1,1
"I attended a lengthy lecture, suitable for beginners, but it lacked good management and essential resources. Nonetheless, it offered valuable and enlightening information, making the endurance worthwhile.",0,0,0,1,0,1,0,0,1,1
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"This event was too lengthy and lacked advanced content. The management was subpar, and resources were scarce. It was not a good experience.",1,1,1,0,0,0,0,0,0,1
"I attended a beginner-friendly workshop that was short but highly informative. The management was excellent, and the resources provided were top-notch.",0,0,0,1,1,1,1,1,1,0
"The seminar was short and focused on beginners. It was informative and had good management. However, resources were lacking.",0,0,0,1,1,1,0,0,1,0
"It was a short and informative session that catered to beginners. The management and resources were good. Overall, it was a positive experience.",0,0,0,1,1,1,1,1,1,0
"The event was informative and beginner-friendly, but it lacked advanced content. The management was good, but resources were limited.",0,0,0,1,1,1,1,0,1,0
"The event was beginner-friendly and informative, making it a positive experience overall.",0,0,0,1,1,0,0,1,0,1
"This workshop was advanced and lengthy, providing an abundance of knowledge. The management was excellent.",1,0,0,0,1,1,1,1,1,1
"I attended a short seminar that was beginner-friendly. The management was good, and the resources provided were helpful.",0,0,0,1,1,1,1,1,0,0
"The event was informative, but the management was lacking. It could have been better with good management.",0,0,0,0,1,0,1,0,1,0
"This presentation was both advanced and lengthy, offering valuable knowledge. However, the management was subpar.",1,0,0,0,1,0,0,0,1,1
I participated in a lengthy panel discussion that was highly informative. The management and resources were excellent.,0,0,0,0,1,1,1,1,1,1
"The seminar was beginner-friendly and short, but it lacked advanced content. The management was good overall.",0,0,0,1,1,1,1,0,1,0
It was a lengthy and informative symposium with advanced content. The management and resources were top-notch.,1,0,0,0,1,1,1,1,1,1
"This workshop was beginner-friendly and short, offering basic knowledge. The management was good.",0,0,0,1,1,1,1,0,0,0
"The event was advanced and informative, but it became overly lengthy. The management was decent.",1,0,0,0,1,0,0,0,1,1
"I attended a short seminar that was beginner-friendly. The management was good, and the resources provided were helpful.",0,0,0,1,1,1,1,1,0,0
"The event was informative, but the management was lacking. It could have been better with good management.",0,0,0,0,1,0,1,0,1,0
"This presentation was both advanced and lengthy, offering valuable knowledge. However, the management was subpar.",1,0,0,0,1,0,0,0,1,1
I participated in a lengthy panel discussion that was highly informative. The management and resources were excellent.,0,0,0,0,1,1,1,1,1,1
"The seminar was beginner-friendly and short, but it lacked advanced content. The management was good overall.",0,0,0,1,1,1,1,0,1,0
It was a lengthy and informative symposium with advanced content. The management and resources were top-notch.,1,0,0,0,1,1,1,1,1,1
"This workshop was beginner-friendly and short, offering basic knowledge. The management was good.",0,0,0,1,1,1,1,0,0,0
"The event was advanced and informative, but it became overly lengthy. The management was decent.",1,0,0,0,1,0,0,0,1,1
"I attended a short seminar that was beginner-friendly. The management was good, and the resources provided were helpful.",0,0,0,1,1,1,1,1,0,0
"The event was informative, but the management was lacking. It could have been better with good management.",0,0,0,0,1,0,1,0,1,0
"This presentation was both advanced and lengthy, offering valuable knowledge. However, the management was subpar.",1,0,0,0,1,0,0,0,1,1
I participated in a lengthy panel discussion that was highly informative. The management and resources were excellent.,0,0,0,0,1,1,1,1,1,1
"The seminar was beginner-friendly and short, but it lacked advanced content. The management was good overall.",0,0,0,1,1,1,1,0,1,0
It was a lengthy and informative symposium with advanced content. The management and resources were top-notch.,1,0,0,0,1,1,1,1,1,1
"This workshop was beginner-friendly and short, offering basic knowledge. The management was good.",0,0,0,1,1,1,1,0,0,0
"The event was advanced and informative, but it became overly lengthy. The management was decent.",1,0,0,0,1,0,0,0,1,1
"I attended a short seminar that was beginner-friendly. The management was good, and the resources provided were helpful.",0,0,0,1,1,1,1,1,0,0
"The event was informative, but the management was lacking. It could have been better with good management.",0,0,0,0,1,0,1,0,1,0
"This presentation was both advanced and lengthy, offering valuable knowledge. However, the management was subpar.",1,0,0,0,1,0,0,0,1,1
I participated in a lengthy panel discussion that was highly informative. The management and resources were excellent.,0,0,0,0,1,1,1,1,1,1
"The seminar was beginner-friendly and short, but it lacked advanced content. The management was good overall.",0,0,0,1,1,1,1,0,1,0
It was a lengthy and informative symposium with advanced content. The management and resources were top-notch.,1,0,0,0,1,1,1,1,1,1
"This workshop was beginner-friendly and short, offering basic knowledge. The management was good.",0,0,0,1,1,1,1,0,0,0
"The event was advanced and informative, but it became overly lengthy. The management was decent.",1,0,0,0,1,0,0,0,1,1
"I attended a short seminar that was beginner-friendly. The management was good, and the resources provided were helpful.",0,0,0,1,1,1,1,1,0,0
"The event was informative, but the management was lacking. It could have been better with good management.",0,0,0,0,1,0,1,0,1,0
"This presentation was both advanced and lengthy, offering valuable knowledge. However, the management was subpar.",1,0,0,0,1,0,0,0,1,1
I participated in a lengthy panel discussion that was highly informative. The management and resources were excellent.,0,0,0,0,1,1,1,1,1,1
"The seminar was beginner-friendly and short, but it lacked advanced content. The management was good overall.",0,0,0,1,1,1,1,0,1,0
It was a lengthy and informative symposium with advanced content. The management and resources were top-notch.,1,0,0,0,1,1,1,1,1,1
"This workshop was beginner-friendly and short, offering basic knowledge. The management was good.",0,0,0,1,1,1,1,0,0,0
"The event was advanced and informative, but it became overly lengthy. The management was decent.",1,0,0,0,1,0,0,0,1,1
"I attended a short seminar that was beginner-friendly. The management was good, and the resources provided were helpful.",0,0,0,1,1,1,1,1,0,0
"The event was informative, but the management was lacking. It could have been better with good management.",0,0,0,0,1,0,1,0,1,0
"This presentation was both advanced and lengthy, offering valuable knowledge. However, the management was subpar.",1,0,0,0,1,0,0,0,1,1
I participated in a lengthy panel discussion that was highly informative. The management and resources were excellent.,0,0,0,0,1,1,1,1,1,1
"The seminar was beginner-friendly and short, but it lacked advanced content. The management was good overall.",0,0,0,1,1,1,1,0,1,0
It was a lengthy and informative symposium with advanced content. The management and resources were top-notch.,1,0,0,0,1,1,1,1,1,1
"This workshop was beginner-friendly and short, offering basic knowledge. The management was good.",0,0,0,1,1,1,1,0,0,0
"The event was advanced and informative, but it became overly lengthy. The management was decent.",1,0,0,0,1,0,0,0,1,1
"This event was incredibly informative and knowledgeable. The resources provided were excellent, but it was quite lengthy.",0,0,0,0,1,0,1,1,1,0
"I found this event to be beginner-friendly, and the management was top-notch. Overall, it was a great experience.",0,0,0,1,1,1,0,0,0,0
"The event had advanced topics that I struggled to grasp. Unfortunately, the management was terrible, and it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet event. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The event's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"The event was both advanced and informative. The management was good, but it was a bit lengthy.",1,0,0,0,1,1,0,1,1,0
"This event was beginner-friendly, and the content was informative. However, it was shorter than expected.",0,0,0,1,0,0,0,1,0,1
"I found the event to be advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The event was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy event with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This event was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The event was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This event was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"The event was beginner-friendly, but the content was lacking. The management was also not up to par.",0,1,1,1,0,0,0,0,0,0
"It was a short event with advanced content, and the management was good. Overall, it was enjoyable.",1,0,0,0,1,1,0,0,0,1
This event was both advanced and informative. The management and resources were top-notch.,1,0,0,0,1,1,1,1,0,0
"I found the event to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The event had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet event. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The event's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This event was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly event with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The event was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The event was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy event with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This event was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The event was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This event was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"The event was beginner-friendly, but the content was lacking. The management was also not up to par.",0,1,1,1,0,0,0,0,0,0
"It was a short event with advanced content, and the management was good. Overall, it was enjoyable.",1,0,0,0,1,1,0,0,0,1
This event was both advanced and informative. The management and resources were top-notch.,1,0,0,0,1,1,1,1,0,0
"I found the event to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The event had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet event. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The event's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This event was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly event with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The event was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The event was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy event with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This event was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The event was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This event was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the event to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The event had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet event. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The event's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This event was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly event with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The event was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The event was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy event with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This event was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The event was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This event was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the event to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The event had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet event. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The event's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This event was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly event with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The event was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The event was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy event with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This event was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The event was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This event was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the event to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The event had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet event. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The event's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This event was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly event with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The event was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The event was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy event with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This event was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The event was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This event was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the event to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The event had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet event. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The event's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This event was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly event with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The event was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The event was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy event with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This event was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The event was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This event was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the event to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The event had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet event. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The event's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This event was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly event with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The event was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The event was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy event with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This event was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The event was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This event was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the event to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The event had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet event. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The event's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This event was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly event with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The event was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The event was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy event with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet session. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The session's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This session was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly session with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The session was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The session was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet session. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The session's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This session was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly session with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The session was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The session was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet session. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The session's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This session was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly session with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The session was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The session was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
